integration_dfb,batch,apa,pde,excluded_channels
0.3,1,1,0.4,"[10500, 10512, 10710, 10405, 10413, 10414, 10507, 10506, 10521, 10515, 10705]"
0.3,1,1,0.45,"[10512, 10710]"
0.3,1,1,0.5,"[10512, 10710, 10717]"
0.3,1,2,0.4,"[10913, 10914, 10916, 10917, 10910, 10911, 10933, 10927, 10922, 10920, 10921, 10932, 10931, 10936, 10902, 10912, 10915, 10945]"
0.3,1,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10926, 10932]"
0.3,1,2,0.5,"[10913, 10914, 10916, 10917, 10910, 10911, 10903, 10906]"
0.3,1,3,0.4,"[11131, 11101, 11103, 11104, 11106, 11115, 11145]"
0.3,1,3,0.45,"[11131, 11133]"
0.3,1,3,0.5,"[11131, 11115, 11101]"
0.3,1,4,0.4,"[11233, 11300, 11305, 11211, 11307, 11222, 11200, 11202, 11205, 11207, 11203, 11201, 11242]"
0.3,1,4,0.45,"[11233, 11300, 11211, 11222]"
0.3,1,4,0.5,"[11233, 11211]"
0.3,2,1,0.4,"[10401, 10404, 10405, 10412, 10413, 10416, 10417, 10500, 10503, 10505, 10512, 10705, 10712, 10715, 10717, 10710, 10700, 10702, 10707, 10507, 10504, 10521, 10515]"
0.3,2,1,0.45,"[10512, 10700, 10702, 10705, 10707, 10710, 10712, 10715, 10717]"
0.3,2,1,0.5,"[10400, 10403, 10405, 10406, 10410, 10413, 10415, 10416, 10500, 10501, 10505, 10506, 10510, 10512, 10515, 10517, 10523, 10700, 10707, 10710, 10712, 10717]"
0.3,2,2,0.4,"[10913, 10914, 10916, 10917, 10907, 10910, 10911, 10920, 10933, 10936, 10900, 10901, 10903, 10942, 10941, 10943, 10944, 10946]"
0.3,2,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,2,2,0.5,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,2,3,0.4,"[11131, 11101, 11103, 11106, 11134, 11131, 11100, 11115, 11124]"
0.3,2,3,0.45,[11131]
0.3,2,3,0.5,"[11131, 11115, 11101, 11132]"
0.3,2,4,0.4,"[11233, 11300, 11302, 11211, 11307, 11205, 11207, 11203, 11201, 11217, 11222, 11232]"
0.3,2,4,0.45,"[11307, 11211, 11233]"
0.3,2,4,0.5,"[11211, 11222, 11233]"
0.3,3,2,0.4,"[10913, 10914, 10916, 10917, 10910, 10911, 10932, 10933, 10942]"
0.3,3,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,3,2,0.5,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,3,3,0.4,"[11131, 11101, 11106, 11134, 11133, 11130, 11114, 11112, 11115, 11140, 11145]"
0.3,3,3,0.45,[11131]
0.3,3,3,0.5,"[11131, 11115, 11103, 11104, 11133]"
0.3,3,4,0.4,"[11233, 11300, 11302, 11211, 11222, 11200, 11202, 11205, 11207, 11203, 11201, 11221, 11230, 11231, 11242]"
0.3,3,4,0.45,"[11233, 11211]"
0.3,3,4,0.5,"[11233, 11211, 11200, 11202, 11205, 11207, 11222]"
0.3,4,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.3,4,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,4,3,0.45,"[11131, 11101]"
0.3,4,4,0.45,"[11211, 11207]"
0.3,5,1,0.45,"[10512, 10717, 10715, 10712, 10710, 10700, 10702, 10705, 10707]"
0.3,5,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10933]"
0.3,5,3,0.45,"[11131, 11101]"
0.3,5,4,0.45,"[11211, 11300]"
0.3,6,3,0.45,"[11131, 11103]"
0.3,6,4,0.45,"[11211, 11207]"
0.3,7,2,0.4,"[10913, 10914, 10916, 10917, 10910, 10911]"
0.3,7,2,0.45,"[10913, 10914, 10916, 10917, 10910, 10911, 10946, 10931, 10904, 10912, 10940, 10941, 10943, 10944]"
0.3,7,2,0.50,"[10913, 10914, 10916, 10917, 10910, 10911, 10933]"
0.3,7,3,0.4,"[11131, 11103]"
0.3,7,3,0.45,[11131]
0.3,7,3,0.50,"[11131, 11134, 11101, 11137]"
0.3,7,4,0.4,"[11211, 11305, 11307, 11222, 11233, 11207]"
0.3,7,4,0.45,"[11211, 11307, 11207, 11201]"
0.3,7,4,0.50,"[11207, 11211, 11305, 11307, 11200, 11202, 11205, 11206, 11204, 11203, 11201, 11215, 11217, 11222, 11242]"
